bidNtceNo,bidNtceOrd,refNtceNo,refNtceOrd,ppsNtceYn,bidNtceNm,bidNtceSttusNm,bidNtceDate,bidNtceBgn,bsnsDivNm,intrntnlBidYn,cmmnCntrctYn,cmmnReciptMethdNm,elctrnBidYn,cntrctCnclsSttusNm,cntrctCnclsMthdNm,bidwinrDcsnMthdNm,ntceInsttNm,ntceInsttCd,ntceInsttOfclDeptNm,ntceInsttOfclNm,ntceInsttOfclTel,ntceInsttOfclEmailAdrs,dmndInsttNm,dmndInsttCd,dmndInsttOfclDeptNm,dmndInsttOfclNm,dmndInsttOfclTel,dmndInsttOfclEmailAdrs,presnatnOprtnYn,presnatnOprtnDate,presnatnOprtnTm,presnatnOprtnPlce,bidPrtcptQlfctRgstClseDate,bidPrtcptQlfctRgstClseTm,cmmnReciptAgrmntClseDate,cmmnReciptAgrmntClseTm,bidBeginDate,bidBeginTm,bidClseDate,bidClseTm,opengDate,opengTm,opengPlce,asignBdgtAmt,presmptPrce,rsrvtnPrceDcsnMthdNm,rgnLmtYn,prtcptPsblRgnNm,indstrytyLmtYn,bidprcPsblIndstrytyNm,bidNtceUrl,dataBssDate
R25BK00785541,000,R25BK00785541,000,Y,"2025학년도 조대여고 2학년 수학여행 위탁용역 2단계(규격,가격 동시) 입찰 공고",일반공고,2025-04-14,16:35,용역,N,Y,,Y,총액계약,제한경쟁,,광주광역시교육청 조선대학교여자고등학교,7380077,,장현익,062-220-7545,chosunghs@hanmail.net,광주광역시교육청 조선대학교여자고등학교,7380077,,장현익,0622207544,,,,,,2025-04-24,18:00,,,2025-04-14,18:00,2025-04-25,10:00,2025-04-29,11:00,국가종합전자조달시스템(나라장터),106259000,96599091,복수예가,Y,광주광역시...(이하생략 나라장터참조),Y,"종합여행업,국내외여행업,국내여행업",https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00785541&bidPbancOrd=000,2025-09-09
R25BK00782669,001,R25BK00782669,001,Y,2025년 도시재생 거점시설 운영관리 방안 구축 용역,정정공고,2025-04-14,16:35,용역,N,Y,,N,총액계약,일반경쟁,협상에 의한 계약,재단법인 서천군 지속가능지역재단,Z042083,,김미진,041-953-1916,naba1118@ssrf.or.kr,재단법인 서천군 지속가능지역재단,Z042083,,김미진,0419531916,,,2025-04-21,09:00,과업지시서로 갈음,,,,,,,,,2025-04-30,19:00,국가종합전자조달시스템(나라장터),30000000,27272727,비예가,N,...(이하생략 나라장터참조),Y,학술.연구용역,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00782669&bidPbancOrd=001,2025-09-09
R25BK00785630,000,R25BK00785630,000,Y,2025학년도 나주공업고등학교 특수건강진단 및 작업환경 측정 용역,일반공고,2025-04-14,16:36,용역,N,Y,분담이행,Y,총액계약,수의계약,,전라남도교육청 나주공업고등학교,8490169,,유광훈,061-332-3911,last7142@hanmail.net,전라남도교육청 나주공업고등학교,8490169,,유광훈,0613323916,,,,,,2025-04-21,18:00,2025-04-21,18:00,2025-04-14,17:00,2025-04-22,10:00,2025-04-22,11:00,국가종합전자조달시스템(나라장터),39712910,39712910,복수예가,Y,"광주광역시,전라남도...(이하생략 나라장터참조)",Y,"작업환경측정기관,특수건강진단기관",https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00785630&bidPbancOrd=000,2025-09-09
R25BK00786162,000,R25BK00786162,000,Y,재난의료지원차량 수리 업체 선정,일반공고,2025-04-14,16:36,용역,N,Y,,N,총액계약,일반경쟁,최저가 낙찰제,조선대학교병원,Z003944,,최지빈,062-220-3337,jibin@csuh.co.kr,조선대학교병원,Z003944,,최지빈,0622203337,,,,,,,,,,,,,,2025-04-25,10:00,1관 본관 8층,15510000,14100000,단일예가,N,...(이하생략 나라장터참조),N,,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00786162&bidPbancOrd=000,2025-09-09
R25BK00785455,000,R25BK00785455,000,Y,등록물질(기존·신규) 유해성정보 관리개선(2025),일반공고,2025-04-14,16:37,용역,N,Y,공동이행,Y,총액계약,제한경쟁,협상에 의한 계약,조달청 충북지방조달청,1230149,,이경아,070-405-68542,llkk@korea.kr,환경부 화학물질안전원,1480802,,조미선,0438304035,cyysun@korea.kr,,,,,2025-04-24,18:00,2025-04-24,18:00,2025-04-23,10:00,2025-04-25,10:00,2025-04-25,11:00,,153172160,138181818,비예가,N,...(이하생략 나라장터참조),Y,학술.연구용역,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00785455&bidPbancOrd=000,2025-09-09
R25BK00786161,000,R25BK00786161,000,Y,성성호수공원 하수처리수 물재이용시설 설치공사 건설폐기물처리용역,일반공고,2025-04-14,16:37,용역,N,Y,분담이행,Y,총액계약,제한경쟁,적격심사제,충청남도 천안시,4490000,,박선영,041-521-5292,cact@korea.kr,충청남도 천안시,4490000,,박선영,0415215292,,,,,,2025-04-21,18:00,2025-04-21,18:00,2025-04-15,14:00,2025-04-22,14:00,2025-04-22,15:00,국가종합전자조달시스템(나라장터),521048000,473680000,복수예가,Y,충청남도...(이하생략 나라장터참조),Y,"건설폐기물 중간처리업,건설폐기물 중간처리업,건설폐기물 수집·운반업",https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00786161&bidPbancOrd=000,2025-09-09
R25BK00785606,000,R25BK00785606,000,Y,2025. 초·중등 영어교사 심화연수 위탁 운영,일반공고,2025-04-14,16:37,용역,N,Y,,Y,총액계약,제한경쟁,,충청북도교육청 충청북도국제교육원,8000421,,허선경,043-210-2823,chdan@korea.kr,충청북도교육청 충청북도국제교육원,8000421,,허선경,0432102823,,,,,,2025-04-24,18:00,,,2025-04-15,09:00,2025-04-25,10:00,2025-04-28,10:00,국가종합전자조달시스템(나라장터),206800000,188000000,복수예가,N,...(이하생략 나라장터참조),N,,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00785606&bidPbancOrd=000,2025-09-09
R25BK00786008,000,R25BK00786008,000,Y,2025년 영구지적기록물 전산화 용역,일반공고,2025-04-14,16:38,용역,N,Y,,Y,총액계약,수의계약,,경기도 남양주시,3990000,,백진주,031-590-2455,jrtbjj03@korea.kr,경기도 남양주시,3990000,,백진주,0315902455,,,,,,2025-04-17,18:00,,,2025-04-16,09:00,2025-04-18,10:00,2025-04-18,11:00,국가종합전자조달시스템(나라장터),37640000,34218182,복수예가,Y,"서울특별시,경기도...(이하생략 나라장터참조)",Y,소프트웨어사업자(데이터베이스제작및검색서비스사업),https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00786008&bidPbancOrd=000,2025-09-09
R25BK00786179,000,R25BK00786179,000,Y,Motion Capture System 유지보수 용역,일반공고,2025-04-14,16:38,용역,N,Y,,Y,총액계약,제한경쟁,협상에 의한 계약,항공안전기술원,B553454,,장성욱,032-727-5625,swjang@kiast.or.kr,항공안전기술원,B553454,,장성욱,0327275625,,,,,,2025-04-24,18:00,,,2025-04-22,10:00,2025-04-25,10:00,2025-04-25,11:00,국가종합전자조달시스템(나라장터),33000000,30000000,비예가,N,...(이하생략 나라장터참조),N,,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00786179&bidPbancOrd=000,2025-09-09
R25BK00784768,000,R25BK00784768,000,Y,2025년 국립항공박물관 사진 및 동영상 제작 ,일반공고,2025-04-14,16:39,용역,N,Y,,Y,총액계약,제한경쟁,협상에 의한 계약,국립항공박물관,Z038866,,김환수,02-694-03089,khs107@aviation.or.kr,국립항공박물관,Z038866,,김환수,0269403089,,,,,,2025-04-24,18:00,,,2025-04-14,17:00,2025-04-25,10:00,2025-04-25,11:00,국가종합전자조달시스템(나라장터),33000000,30000000,비예가,Y,서울특별시...(이하생략 나라장터참조),Y,비디오물제작업,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00784768&bidPbancOrd=000,2025-09-09
