bidNtceNo,bidNtceOrd,refNtceNo,refNtceOrd,ppsNtceYn,bidNtceNm,bidNtceSttusNm,bidNtceDate,bidNtceBgn,bsnsDivNm,intrntnlBidYn,cmmnCntrctYn,cmmnReciptMethdNm,elctrnBidYn,cntrctCnclsSttusNm,cntrctCnclsMthdNm,bidwinrDcsnMthdNm,ntceInsttNm,ntceInsttCd,ntceInsttOfclDeptNm,ntceInsttOfclNm,ntceInsttOfclTel,ntceInsttOfclEmailAdrs,dmndInsttNm,dmndInsttCd,dmndInsttOfclDeptNm,dmndInsttOfclNm,dmndInsttOfclTel,dmndInsttOfclEmailAdrs,presnatnOprtnYn,presnatnOprtnDate,presnatnOprtnTm,presnatnOprtnPlce,bidPrtcptQlfctRgstClseDate,bidPrtcptQlfctRgstClseTm,cmmnReciptAgrmntClseDate,cmmnReciptAgrmntClseTm,bidBeginDate,bidBeginTm,bidClseDate,bidClseTm,opengDate,opengTm,opengPlce,asignBdgtAmt,presmptPrce,rsrvtnPrceDcsnMthdNm,rgnLmtYn,prtcptPsblRgnNm,indstrytyLmtYn,bidprcPsblIndstrytyNm,bidNtceUrl,dataBssDate
R25BK00897993,001,R25BK00897993,001,Y,2025년 조림지 풀베기사업-1지구 1차,정정공고,2025-06-11,17:25,공사,N,Y,,Y,총액계약,수의계약,,산림조합중앙회 충남지역 당진시산림조합,D438067,,김나래,041-355-2108,djsanjo@daum.net,산림조합중앙회 충남지역 당진시산림조합,D438067,,김나래,0413552108,,,,,,2025-06-16,18:00,,,2025-06-11,19:00,2025-06-17,10:00,2025-06-17,11:00,국가종합전자조달시스템(나라장터),,128207000,복수예가,Y,충청남도 당진시...(이하생략 나라장터참조),Y,산림사업법인(숲가꾸기 및 병해충방제),https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00897993&bidPbancOrd=001,2025-09-08
R25BK00897899,000,R25BK00897899,000,Y,국도42호선 반계3교(하) 등 4개소 시설물 보수공사,일반공고,2025-06-11,17:25,공사,N,Y,,Y,총액계약,제한경쟁,적격심사제,국토교통부 원주지방국토관리청 홍천국토관리사무소,1613203,,김호영,033-430-9121,hykim1111@korea.kr,국토교통부 원주지방국토관리청 홍천국토관리사무소,1613203,,김호영,0334309121,kyhs06@korea.kr,,,,,2025-06-16,18:00,,,2025-06-13,00:00,2025-06-17,10:00,2025-06-17,11:00,국가종합전자조달시스템(나라장터),,385545455,복수예가,Y,강원특별자치도...(이하생략 나라장터참조),Y,"토목공사업,토목건축공사업",https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00897899&bidPbancOrd=000,2025-09-08
R25BK00898842,000,R25BK00898842,000,Y,국도38호선 두문동재터널 등 7개소 방재설비 교체공사,일반공고,2025-06-11,17:26,공사,N,Y,,Y,총액계약,제한경쟁,적격심사제,국토교통부 원주지방국토관리청 정선국토관리사무소,1613213,,곽지은,033-560-0706,wldms3185@korea.kr,국토교통부 원주지방국토관리청 정선국토관리사무소,1613213,,곽지은,0335600705,a7449@korea.kr,,,,,2025-06-16,18:00,,,2025-06-15,00:00,2025-06-17,10:00,2025-06-17,11:00,국가종합전자조달시스템(나라장터),,171818182,복수예가,Y,강원특별자치도...(이하생략 나라장터참조),Y,기계설비ㆍ가스공사업,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00898842&bidPbancOrd=000,2025-09-08
R25BK00898544,000,R25BK00898544,000,Y,연현초 방화구획 개선공사,일반공고,2025-06-11,17:27,공사,N,Y,,Y,총액계약,제한경쟁,적격심사제,경기도교육청 경기도안양과천교육지원청,7569000,,김지민,031-380-7263,kj1230512@korea.kr,경기도교육청 경기도안양과천교육지원청,7569000,,홍성호,0313807263,,,,,,2025-06-16,18:00,,,2025-06-12,10:00,2025-06-17,10:00,2025-06-17,11:00,국가종합전자조달시스템(나라장터),,252623636,복수예가,Y,경기도...(이하생략 나라장터참조),Y,금속창호ㆍ지붕건축물조립공사업,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00898544&bidPbancOrd=000,2025-09-08
R25BK00876672,000,R25BK00876672,000,Y,유엔평화의 숲 조성사업,일반공고,2025-06-11,17:28,공사,N,,공고서 참고,Y,총액계약,제한경쟁,적격심사제,부산광역시,6260000,,박소연,051-888-2241,sallypark1414@korea.kr,부산광역시 푸른도시가꾸기사업소,6260820,,강복희,0518887122,,,,,,2025-06-16,18:00,,,2025-06-13,09:00,2025-06-17,10:00,2025-06-17,11:00,국가종합전자조달시스템(나라장터),,2482343636,복수예가,Y,부산광역시...(이하생략 나라장터참조),Y,"조경공사업,산림조합(지역조합),산림사업법인(도시숲등 조성, 관리)",https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00876672&bidPbancOrd=000,2025-09-08
R25BK00897968,000,R25BK00897968,000,Y,국도19호선 백운2교 등 3개소 시설물 보수공사,일반공고,2025-06-11,17:28,공사,N,Y,,Y,총액계약,제한경쟁,적격심사제,국토교통부 원주지방국토관리청 홍천국토관리사무소,1613203,,김호영,033-430-9121,hykim1111@korea.kr,국토교통부 원주지방국토관리청 홍천국토관리사무소,1613203,,김호영,0334309121,kyhs06@korea.kr,,,,,2025-06-16,18:00,,,2025-06-13,00:00,2025-06-17,10:00,2025-06-17,11:00,국가종합전자조달시스템(나라장터),,410230000,복수예가,Y,강원특별자치도...(이하생략 나라장터참조),Y,"토목공사업,토목건축공사업",https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00897968&bidPbancOrd=000,2025-09-08
R25BK00898846,000,R25BK00898846,000,Y,청원고 기숙사(구룡관)천장교체 및 기타 통신공사 수의견적 공고 ,일반공고,2025-06-11,17:29,공사,N,Y,,Y,총액계약,수의계약,,충청북도교육청 충청북도청주교육지원청,8011000,,김수연,043-299-3292,le01051@korea.kr,충청북도교육청 충청북도청주교육지원청,8011000,,김수연,0432993292,,,,,,2025-06-16,18:00,,,2025-06-13,10:00,2025-06-17,10:00,2025-06-17,11:00,국가종합전자조달시스템(나라장터),,26450000,복수예가,Y,충청북도 청주시...(이하생략 나라장터참조),Y,정보통신공사업,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00898846&bidPbancOrd=000,2025-09-08
R25BK00896104,000,R25BK00896104,000,Y,경북시청자미디어센터· 오천읍행정복지센터 복합청사 건립,일반공고,2025-06-11,17:29,공사,N,Y,공동이행,Y,총액계약,제한경쟁,적격심사제,경상북도 포항시,5020000,,김지영,054-270-2525,pohangtax@korea.kr,경상북도 포항시,5020000,,김지영,0542702525,,,,,,2025-06-18,18:00,2025-06-18,18:00,2025-06-16,17:00,2025-06-19,10:00,2025-06-19,11:00,국가종합전자조달시스템(나라장터),,10602432728,복수예가,N,...(이하생략 나라장터참조),Y,"건축공사업,토목건축공사업",https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00896104&bidPbancOrd=000,2025-09-08
R25BK00898018,000,R25BK00898018,000,Y,2025년 풀베기(봉평 1차 1회)사업,일반공고,2025-06-11,17:30,공사,N,Y,,Y,총액계약,지명경쟁,적격심사제,산림청 동부지방산림청 평창국유림관리소,1400448,,유성희,033-330-4014,sb3287@naver.com,산림청 동부지방산림청 평창국유림관리소,1400448,,김형준,0333304039,good3443@korea.kr,,,,,2025-06-17,18:00,,,2025-06-11,18:00,2025-06-18,10:00,2025-06-18,11:00,국가종합전자조달시스템(나라장터),,148417273,복수예가,N,...(이하생략 나라장터참조),N,,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00898018&bidPbancOrd=000,2025-09-08
R25BK00898897,000,R25BK00898897,000,Y,국도19호선 남해권역 등 5개소 도로시설 정비공사,일반공고,2025-06-11,17:31,공사,N,,공고서 참고,Y,총액계약,제한경쟁,적격심사제,국토교통부 부산지방국토관리청 진주국토관리사무소,1613295,,김지향,055-740-2695,kimjh2015@korea.kr,국토교통부 부산지방국토관리청 진주국토관리사무소,1613295,,반영직,0557402632,,,,,,2025-06-16,18:00,,,2025-06-11,22:00,2025-06-17,10:00,2025-06-17,11:00,국가종합전자조달시스템(나라장터),,284545455,복수예가,Y,경상남도...(이하생략 나라장터참조),Y,금속창호ㆍ지붕건축물조립공사업,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00898897&bidPbancOrd=000,2025-09-08
